Tweet,Sentence 1,Sentence 2,Sentence 3
here we go this fat bitch started talking and now will never stop,,,
here yall hoes go dicc ridinamp shit,,,
heres a thought you dont have a valentine bc your a mean ugly bitch haha,,,
hey  youre a nigger racismisaliveandwellbro  learn from other blacks in the league on how to conduct yourself,,,
hey ups dis angry white man thatupsdude called me a nigger when i didnt answer da door on time he aint fit to be delivering pizzas,,,
hey okrah just wake up already you already know bammy and moochie are in it for the commies stop with the racist whitey hate crap,,,
hey bitchadam showed upbring more beer,,,
hey bitches ill be in ic tonight so dial the digits ,,,
hey ladies can i ask you a question  why do yall niggas be so fkn lame  it be the baddest bitches wit the lamest niggas,,,
hey morons at foxnews and foxandfriends was it political when bush raised terror threat right before the election lmao at u teabaggers,,,
hey my folk this nigger loving jew boy deuterostomes asked if i was making death threats against his goat fucking people fuck him,,,
hey people bird watching you do realize  like hundreds literally hundreds of free pictures of boobs on the internet right,,,
hey you bitch in the minivan stop riding my ass you have no power in your vehicle just stop already,,,
hey asidethis was my graduation cap like fuck you bitch detroit what ,,,
hey barackobama dont be like a stupid white bitch in some horror movie asks america to hide from isis behind some chainsaws mkay,,,
hidey hidey hoe ,,,
high school is tough for everyone grow the fuck up and stop being a little bitch that should be a tag line for my new speaking tour,,,
high then a bitch of them bong rips steady smoking  gs with my nigga jorge,,,
high then a hoe but played it cooooool,,,
high then a hoe watching wolf of wall street,,,
high then a hoe with bitch ass benny,,,
high then a hoe hitting this bowl for my nigga rick riprick,,,
high thenna bitch thats y im tweeting,,,
higher den a bitch,,,
highland bitchk  them bitches stupid on bloods  id fuck with deja thoe ,,,
his big ass smile his eyes is chink,,,
his bitch ass a hoe ass nigga prolly dont get no pussy,,,
his bitch ass is the same way so it dont matter,,,
his bitch wan fuck me cuz he sneak dissin me ,,,
his boyfriend gonna be like you aint make a team im straight fagzrawtaroli  the rams really cut michael sam wow,,,
his hair so cute wit his sessy face but his ex bitch liked that picture to shit like fucc it,,,
hit a bitch with a car bomb,,,
hit his bitch im like shaggy im like no it wasnt me,,,
hit it and pass it until that pussy elastic,,,
hit me up with plans nigs,,,
hit me with plans mah nigs,,,
hit my car with another rock and ill be all over your ass in no time bitch,,,
hitler didnt finish it can u if a nigger ur jew confronts u in the street what then,,,
hittin licks what you get outta thatyou amp yo boys is some pussy cats,,,
hitting women is wrong morally but bitches get raped kidknappedbeat up an sold to be sex slaves when they gonna end that,,,
hmm rt icejjfish every bitch i fucked wit is a hoe never met a real female in my life,,,
hmm ass all chunky brain is insanity,,,
hoe bitches act up i turn chris breezy,,,
hoes aint wana fuck a nigga back then you but all the bitches wana fuck a nigga now,,,
hoes all on my bandwagon your bitch gaggin she jet laggin aap,,,
hoes always blaming hoes for being hoes,,,
hoes always saying niggas hoes but they be the hoes ,,,
hoes always tryna say they look like a celebrity  no bitch you like the other hoe that love on krenshaw sit yo basic ass down,,,
hoes and dey hoe poses,,,
hoes be bringing they friends around they nigga and they nigga end up fucking with the bitch friend and the bitch dont even kno,,,
hoes be like hoes be likebut they be the hoes that be like,,,
hoes be like my niggas cant have no hoes but that how he meet yo ass,,,
hoes be making twerk videos talking bout just playing around bitch you know you was serious,,,
hoes be prayin niccas dnt kno dat background,,,
hoes get in this bitch  talk about irrelevant shit  ,,,
hoes gon always be hoes or have they hoe ways at least,,,
hoes gon be hoes let them be,,,
hoes gone be hoes but thats none my business ,,,
hoes gone be hoes dontbemad,,,
hoes hang wit hoes cuz dey got da same hobbies,,,
hoes respect niggas who get strait to the point i wont lead a bitch on if all i wont is crash den it will be adressed clearlyturn up,,,
hoes thnk they won when the nigga thats ridin the fence start givin them a lil attention what u won hoe a wishywashy ass nigga oh,,,
hoes will be hoes lol,,,
hoes will be hoes nd ratchets will bewell u know,,,
hoes will be hoes monday  saturday amp starting again sunday after church services,,,
hoes will be hoes,,,
hoes will put with ya man  as the location in their bio then get mad when you think they a hoe,,,
hokis pokis bitch,,,
hold up lebron aint at dwade wedding if he got uninvited for leaving miami thats some hoe shit see yall so quick to call  brother,,,
hold up women leaving good men for some quotes they seen a nigga with no girl post on instagram that he copied on googleu hoes crazy ,,,
 justice department  interested in the facts in ferguson  these race hustling bitches are disgraceful,,,
holy fuck they some bomb ass bitches at bucees,,,
holy fuck white bitch with  baby daddy straight goes who uses condoms anyways bitch maybe you should so youd stay outta the clinic,,,
holy sheep shit i havent been on instagram in a coons age im seeing pictures from like  weeks ago haha,,,
holy shit the retard episode of wheel of fortune again fantastic,,,
honestly i think i would trash that young man and ill fuck his bitch and ill smack his mother prolly shot his ugly ass dog,,,
honestly at this point i doubt id fuck miley cyrus anymore that bitch is a mess,,,
honestly if the most hoodiest ratchet bitch asked me to her prom im in dere,,,
honestly its enough bad bitches in the universe for everyone not including dykes,,,
honkey ass bitch tryna tell me shit,,,
hood niggas and bitches love emojis lmfao,,,
hope yall kno wen u eat pussy u one inch away from death,,,
hope you find a bitch with some ass that satisfies ya needs,,,
hopefully this niggah buys my gamma  cause i want them,,,
horny japanese milf showers and toys her soaking  ,,,
horny milf in sexy lingerie has her old pussy pummeled by a  ,,,
horny cougar gets two cocks shoved in  ,,,
horny mature babe in a kimono has her pussy fingered  ,,,
horse racing bitch,,,
how i beat up the pussy ,,,
how im supposed to know you not just a butch dyke if yeen got a beard my man,,,
how paul gonna pick up the ball after a score and bitch to thevrefs and the warriors bench without getting a t,,,
how are terrychappell and i supposed talk shit about  bitch ass now that he has a twitter confused ,,,
how are you gonna be a cunt to your friends,,,
how can i not take my style back from niccas when niccas was taking my style way beforepreach   rns,,,
how can a woman take u serious when youre a hoe i mean rt bamaboyybrandon how can a nigga take you serious when youre a hoe lol like,,,
how can dre drop it but so much cunts will illegally download it or go on itunes to get it should be a fuckin hardcore cd in shops only,,,
how can you say you dont want a nigga thats friendly but your pussy is like casper the friendly ghost,,,
how come i wont pray but find time for a bitch,,,
how could you do this to me bitch,,,
how could you do this to meeeeeee bitch,,,
how da fucc we gone believe that you out here selling bricks wit some dirty ass kicks nicca u aint sellin shit,,,
how did i get stuck with the worlds biggest cunt for a sister i just wanna set the cunt on fire and send her straight to hell,,,
how do i tell this cashier that im tryna fuck her right in the pussy,,,
how do ask a broad to just eat her pussy,,,
how do you bloke someone on insta dumb bitch scares me,,,
how do you go to sleep at night bitch if im not the one sleeping with ,,,
how do you greet your friends  yo bitch whats up  ,,,
how do you photoshop yourself and still be ugly thats like cheating on test and still failing be ashamed bitch,,,
how filthy of a cunt is danabashcnn to pretend that obama threatening amnesty is not vastly more egregious than boehner on obamacare tcot,,,
how he move in a room full of nos how he stay faithful in a room full of hoes,,,
how many times you hoes look at my picture a day ,,,
how mich time the p o p hold it down nigga bitch catch,,,
how my bestf gon call me  people  like ima regular niggah to her now smh ,,,
how she stay faithful with a room full of hoes,,,
how tf you act like a bitch ,,,
how this ugly ass nigga gets more pussy than me ,,,
how u know u dont get real life pussy only carin bout her enterin your dms rt  she can enter my dms anytime ,,,
how yall associate or even entertain that bitch ass nigga is beyond my comprehension,,,
how you cry like a bitch every time me other chiefs fans have friendly debates,,,
how you fucc for cash but u not a hoe  and how im going to respect u if your poccets broke ,,,
how you gone wife a bitch that let niggas lick on her head in public,,,
how you gonna use my name while you talmbout pussy tastes lol,,,
how you just gon start some mess and try to break up that man home for  racks ill kill that hoe for breezy fam,,,
how you like them apples you pineapple bitch,,,
how you livin hoe,,,
how you look like big bad mama but make fun of a pretty bitch wow where they do that at  ,,,
how you rap but cant getcho bitch to rt ya music put the mic down bro,,,
how you stay faithful in a room full of hoes ,,,
how you unblock bitches on here,,,
hows this bitch wearing high heals right now,,,
hows work bitch ,,,
hugh heffner gonna be on life support still gettin pussy,,,
hugh hefner has lived the life that most of us men only dream of the man is  and still gettin all the pussy he wants,,,
hull all yuh mudda cunt rt fcbarcelona six strikers set for the clasico  ,,,
humble personality not a hoe rt lovemedarlingg  best nonphysical feature the opposite sex can have,,,
hungry as ferkin nips,,,
hungry then a hoe,,,
hunkie is resorting to dick kicks,,,
hunnit hoes in the house amp they all fckn watch dog ass kb ball again ion see a bih cause they broke as hell  places ain goin broke or jail,,,
hurry up nigga this the last key they dont kno where the fiberglass safe at to get in that bitch you need a glass key,,,
hurry up nigga this the last key they dont know where the fiberglass safe at to get in that bitch you need a glass key,,,
hustling aint for everybody either  jus like certain niccas cant hoop or play football certain niccas cant hustle,,,
hypocritical little bitch,,,
i confessgt degenerateartist and rebelscience is the walrus who sneaks pussy in the nightgt i am artist paints your wife with bastardsgt,,,
i dont fuck wit youuuuuuuu you lil stupid ass bitch,,,
i fucken cant stand little cunts that write a damn essay on how the feel about something on facebook gross,,,
i listen to based god one time now im based no bitch stfu your like  stay outa the based game,,,
i was down for a minute  them bitches left a nigga them hoes forgot about me  like they neva met a nigga,,,
i absolutely love my shanti regardless what we go through thats my bitch,,,
i actually get on with erin and think shes really nice bit youre so two faced and bitch about her all the time nasty,,,
i actually just hate the bitches on here,,,
i adopted these bitches,,,
i aint finna sleep bitch its  oclock when you finish noddin meet me at the top,,,
i aint neva care what ah bitch had to say bout me,,,
i aint a killer but dont push me revenge is like the sweetest joy next to getting pussy,,,
i aint afraid to cut a bitch or open a package or somethin gangsta ,,,
i aint been to the fair since i was like  and i havent wanted to go since then either for some reason too many niggers for me,,,
i aint bout to listen to this nigga rap about eating pussy,,,
i aint buying no pussy i got too many followers for that,,,
i aint cuffing no bitch thats out here posting sex gifs but maybe im just different,,,
i aint cutting my hair for u hoes at hc,,,
i aint dont turnin up bitch,,,
i aint even know white girls had good pussy like dat eitha lbvs they winnin too,,,
i aint fenna be locked up  hours a day beating my dick for a guilty mf who out here fucking free world pussy,,,
i aint going to movies hoe we straight sexing,,,
i aint got no ,,,
i aint got no pussy or weed im on that bitch suck my dick diet,,,
i aint got no type bad bitches is the only thing i like,,,
i aint got time for a hoe tell her hop in the whip amp shut the cadillac doe,,,
i aint no bitch no more i got my license d,,,
i aint really trippin about the money yo that shit constantly comes like a bitch pussy,,,
i aint stressin you hoes know dat ,,,
i aint talking onna phone butch we straight texting ion wanna go to the movies bitch we sexin ,,,
i aint trying to fuck bitch i just want wings,,,
i aint mad at you bitches thats what hoes do,,,
i aint mad at you thats what hoes do,,,
i aint never had a prob with no other bitch over a nigga if thts yo nigga cool im older enough too go find me another ,,,
i aint no killa but dont push me revenge is the sweetest joy next to gettin pussy,,,
i aint saying you a bitch but you be acting like a female dog,,,
i almost beat that bitch up,,,
i almost blacked out little cunt was disrespecting my turtle and we dont disrespect gorilla,,,
i almost ran this fine red bitch over,,,
i almost was nice once then i realized people need to toughen up and stop being such emotional bitches,,,
i already done been exposed on facebook by some hoe,,,
i already know im about to buy so many bitches drinks tonight that ill never fuck but lifes all about hits and misses gotta take chances,,,
i already know wilson gone hoe later on let me gone get my ammo,,,
i already know you trash if being tatted is on the list of things you want in a nigga,,,
i always felt funny about a chick calling me daddyit sound sexy and all but bitch you need to go and find your dad,,,
i always listen to ghetto ass rap when i get ready for football games,,,
i always look like such a bitch,,,
i always love when kathydoermer and i vent about bitches ,,,
i always wanted a bull dog them hoes clean fuck a pit,,,
i am for equality in the law for all people white black red yellow and blue homos heteros well i draw the line ,,,
i am hungrier den a bitch,,,
i am legend in this bitch,,,
i am not your side bitch no more,,,
i am out i cant listen to joe bitch about things he did himself and tell half truths msnbc your viewers deserve better morningjoe,,,
i am so damn done dealing with hoes with kids puerto rican dominican i dont care,,,
i am such a daddys girl its crazy i will drop a bitch in a second over my dad bro,,,
i am such a little bitch ,,,
i am such a ,,,
i am the real vampire nigger,,,
i am what u said i am but am aint no bitch,,,
i approve this message   good pussy is a mufucka  ,,,
i asked my two best friends to describe me in three words i get back boss ass bitch and short feisty and mexican i love my friends,,,
i b so quick to dub a bitch its sad ,,,
i b tryna remind these bitches  i knew u  dis social network fame,,,
i based niggas on how they bitch look ,,,
i be chillin wit the bitches cuz a lotta niccas fake,,,
i be damn if i go ova dea n get my ass  up i kno wat it look like bitch i play  of duty frequently,,,
i be drippin in so much damn sauce got bitches ready to lick it off ,,,
i be joked out at half the broads on here that brag about how good they pussyhead game is,,,
i be like nigga yous a real mark ass bitch for that lol,,,
i be like bitch please lol ,,,
i be  i have no hoes ,,,
i be lying in got theses bitches like u on my fuckin mind but i be really focus just on this money,,,
i be out that bitch with the quickness,,,
i be ready to tell a bitch shut da fuck up lol,,,
i be sayin im done drinkin everyday but then one of my friends hit me up like i gotta case and only faggots turn down free beer,,,
i be seein you bitches in the whip wit your boyfriend but he be lookin like your dad so i be eye ballin then here comes ole salty ass bf,,,
i be stalking hoes ,,,
i be teaching bitches how to clear the bong mon,,,
i be telling mcgirt music aint enoughyou gotta have a non music related agendathem crackers want to sell something with your face,,,
i be try a log on to ig an like pics but bitches dont be posting no pics,,,
i be using these fufu bitches ,,,
i be waiting for a bitch to sneak diss  im ing idc ,,,
i be waking niccas up lol,,,
i be waking up on some new shit like fuck that bitch shit,,,
i beat that pussy up up up up,,,
i beat the pussy up yg,,,
i become more of a bitch day by ,,,
i been getting bitches my whole life i been getting money my whole life ,,,
i been getting money i aint worried bout a hoe,,,
i been getting money i aint worried bout a hoe ,,,
i been getting money i aint worried about a hoe ,,,
i been goin thru some shit from my niggas to my bitch they lookin like they wanna switch,,,
i been in atlanta  mins nd got  bad hoes numbers,,,
i been in this hospital since  im just tryna stay awake for  hrs then i can sip this dusse and party with the rest of the coons,,,
i been slackin on the ice game i needa cop a watch  so i can fuck me a instagram hoe amp press block,,,
i been thugging theses hoes since preschool ,,,
i been way to consistent on niggas  im have to drop some trash to get appreciated,,,
i been with the same stud for a yearthat bitch her attitude nasty,,,
i beg to differ on that lip bittin shit dis bitch bit my lip nd tried to suck my blood aint shit sexy about that,,,
i bent yo bitch over thats why you mad these niggas broke thats why i laugh,,,
i bet he rey go crazy ona bitch jack llab,,,
i bet if we took a twitter cencus itd be at least  basic ass bitches,,,
i bet that nigga  got charged for murder for tha intro of gucci vs guwop cause straight killed that hoe freegucci freeradric,,,
i bet these bitches trying to set me up ,,,
i bet u john elway gets way more pussy than john dorsey,,,
i bet we are gonna see  game loan player reviews too just because people are that much of a cunt,,,
i bet you think you a nochill savage huh fucking faggot killsemaj,,,
i bitch a lot but its coo,,,
i bitch can tell that im addicted to pussy she lookin pass it,,,
i bought a  and went back to the neighborhood and busted that bitch,,,
i bought him a sumblime shirt for his birthday too  i kinda wanna be a cunt and ask for it back lol indiangiver,,,
i bought hummus and broccoli i just need snacks and shit rt omgitstamz i need to buy crackers and shit,,,
i broke baby outta his thug stage n turned him into a pussy   it was hard but i did it  now he show more feelings than a lit bit,,,
i called at least  times to make my hair appointment and these bitches dont pick  guess i have to stop in to make an appointment grrr,,,
i called in to work n bitch said they might not want me to go back,,,
i can be a bitch and im fine with ,,,
i can be very vengeful dont be a cunt,,,
i can fuck yo bitch and you cant,,,
i can guarantee that  out of  of yalls bitches follow me,,,
i can just set that hoe on fire ,,,
i can make a bitch famous,,,
i can make a dike say she leavin that lady i can make a lady say she leavin that pussy ass nigga that gave her that baby,,,
i can neva count my stash cause i always lose count i can neva keep no bitch cuz i put them hoes out,,,
i can not amp will not fuck with theses dawg ass hoes no more ,,,
i can see ya hoes amp all of em nothin,,,
i can taste loud n pussy on my tongue ,,,
i can tell when certain and specific people are posting on a groupcorporate fbtwitter page by the consistent retarded hashtags makeshitup,,,
i can turn a hoe into a housewife cause i know how to love thats all their missing,,,
i cant stand an ex that wont let go like bitch get a life aint nobody stuntin yo ,,,
i cant argue with a bitch over a nigga,,,
i cant believe im jealous all i can think is what goddamn bitch was in your room to take a pic of you in bed with your shirt off ,,,
i cant believe that someone announced before the movie to the crowd that they came for the bitches ,,,
i cant believe these ghetto fucks left this little kid next to me hes now playing with fucking everything odds of his survival minimal,,,
i cant believe this nigga told me to put nutella on a bitch before you eat her out wildnigga,,,
i cant blow bubbles or whistle im basically retarded,,,
i cant entertain these hoes or these broke niggas,,,
i cant even be away from my phone that long karlie right she is a crazy ,,,
i cant ever eat roast beef anymore without thinkin bout dark skin twat thanks a lot twitterig,,,
i cant express how much i hate sam he is by far hands down no questions asked my least favorite character  so bitch made freaksandgeeks,,,
i cant fuck a scary hoe,,,
i cant fuck any ol bitch niggas be desert dicks out ,,,
i cant fuck with girls that talk about their pussy on social media,,,
i cant fuck with hoe niggas i cant trust these hoes niether,,,
i cant fuck with you no mo hoe and im sorry,,,
i cant handle when people give me an attitude i dead them so quick like why do you have to be a nasty bitch,,,
i cant never be no bitch nigga  thats how you get treated like a bitch,,,
i cant stand a fag bitch like fucc get out there amp make the money ,,,
i cant stand a snobby stuck up bitch,,,
i cant stand this fat bitch next to me with her hairy ass legs kiss imik,,,
i cant stand to see my ex with another ugly bitch ,,,
i cant take yo bitch if i cant see yo bitch,,,
i cant take you hoes serious because she everything a nigga need in a woman some of yall just look good amp thats it,,,
i cant talk to anyone but you can go answer littlephone calls from your little bitches on the low in the bathroom foh,,,
i cant tell if i want to fuck you or if i want to slit your throat,,,
i cant tell you the last time i seen  niggaz have a fight but i see bitches fight on video daily,,,
i cant trust a bitch ,,,
i cant wait to turnup with my bitches  i miss them ,,,
i cant with these second class bitches,,,
i cant with this disrespect ass bitches,,,
i cannot be worried bout no bitchcause i know a bitch could be somewhere sucking a dick ayeeee,,,
i cant fuc wit no bitch thats addicted to drugz,,,
i chase bread over hoes cause i never met a dollar i aint like facts,,,
i cheated on  of the bitches i had tf lol nobody even wanted to be all committed and shit,,,
i come wit the rocks on yu can get popped on light yellow chevy same color as popcorn,,,
i copped a uzi but i need some bullets for that bitch ,,,
i could never bring myself to fw a bitch or nigga that wears everybody else shit like um no your broke amp bummy ya fuccing boof ,,,
i could b out here like some of these chicksin the streets slingin pussy for a couple dollars but im not,,,
i could blank all you sons of bitches out getatme goofy fuckmongo naynayismongo,,,
i could have so many bitches right now lately they been loving flee,,,
i could say my name butttttttt ya bitch already knows it ,,,
i coulda sworn i was the last bitch on tunchi ig ,,,
i couldnt have no mama joyce at my wedding what a grumpy ass bitch,,,
i cuff no hoes,,,
i curved yo bitch your welcome,,,
i cut you out of my life for a reason you stupid bitch dont follow me on twitta,,,
i dare a bitch to key my truck ,,,
i definitely cant fw a nigga that associates himself wit bitches i dont fw  tf you fuccing goofball ,,,
i despise  you aint original bitch you are a copy deleted,,,
i did anything for my bitch now these hoes only get hard dick nbs,,,
i did everything but trust these hoes ,,,
i did everything except trust these hoes,,,
i  go to school here rt lmaoatdosehoes arizona full of ugly hoes rt t all my crushes ended up ugly after high school damn shame,,,
i didnt even get to see my baby today smh its all my moms fault selfish bitch,,,
i didnt forsake all other bitches for my wife to be getting fucked on by another nigga and you know she married you gotta die,,,
i didnt know my nig geazy had reached a million views on one of his songs haha thats crazy,,,
i didnt wanna see your hoe ass pictures anyways take care of your fuckin kids too,,,
i dnt let nobody borrow my shitamp i let my girlfriend got my sweats lol thas how u know she runnin shitu otha hoes cant get a sock from me,,,
i do alot of fucking girl but i dont fuck around i been in the same pussy since before migos came out,,,
i do da flow in a temple today fo nuttin and dat jew wit the funky hair tell me i subhuman he tell me i aint no mo human den a monkey,,,
i do know one thing though bitches they come they go,,,
i do the shit you bitches is too pussy to do,,,
i dog hoes not one but all hoes,,,
i dont  keep friends  they come  and go  dont fuck  with these bitches  fake all they know ,,,
i dont be crying over stripper bitches that left me for dudes with money tho and singing about it,,,
i dont believe in that frenemies shit who wats to have a bitch like dat with u all the time,,,
i dont buy pussy cuz its free bitch i buy lacs,,,
i dont care how hot a bitch is if her personality is shit shes shit,,,
i dont care how old i am when you put me in front of a bag of takis ill eat that bitch,,,
i dont care if youre gay yeent bout to me calling me bitch and fish and thinking shit is sweet i dont even like girls doing that,,,
i dont chase no bitches just chase my dreams,,,
i dont even play flappy bird anymore because fuck him,,,
i dont fck wit those luvv rt swishaas  whos pussy better then a crazy  apparently thots ,,,
i dont feel like all black people are niggers but if youre black and youre being a nigger imma tell you idc,,,
i dont focus on bitches bitches focus on me trenttruce photography by patrickos ,,,
i dont fuck wit bitches that listen to that edm shit for some reason them bitches be havin mad energy and i like to chill,,,
i dont fuck wit hoe niggas,,,
i dont fuck wit these bitches cuz they think they ,,,
i dont fuck with these niggas cause they shady i dont fuck with these bitches all they want is to have my baby,,,
i dont fuck with you iffy bitchesniggas yall dont put fear in my heart yall bleed the same i do and breathe the same ,,,
i dont get it im either a pussy or troll where is the room for the truth and or my opinions on my tl social media fucked up,,,
i dont get what standing on ya tip toes does for these pics these hoes be taking,,,
i dont get why bitches blame the hoe their man cheated on them withit was both their faulttheir boyfriend couldve said no,,,
i dont give a fuck about yo gal yo wifey or yo boo came here by myself bitch im tryna bone,,,
i dont glorify dis shit but bitch i am what i am and it is what it is,,,
i dont got no type bad bitches is the only thing that i iike,,,
i dont got that bad of a mouth do i fuck shit ass bitch cunt shooby de doo wop,,,
i dont have a wife she my bitch for the night if she was catching bodies then it might be alright,,,
i dont have an iphone so i have to manually ignore these hoes ,,,
i dont have another face other than my bitch face  ,,,
i dont have hoes its a myth,,,
i dont have no type  bad bitches is the only thing i like ,,,
i dont hit women but id slap tf out a bitch no close fisted business though thats some cowardly shit,,,
i dont hold feelings for my old flings i jus trade dem bitches in like my old range ,,,
i dont kick it with fuck nights and bitches,,,
i dont know what hoe activities consist of bc i dont partake in them shit its so many i damn near cant tweet without being a hoe,,,
i dont know why broads drunk dial meim sleep hoe,,,
i dont know maybe it is a good quote and a good way to feel but ive seen way too many petty lifedestroying bitches use that quote,,,
i dont like bat man though i fucked his bitch twice,,,
i dont like that bitch,,,
i dont like you bitch so  amp im having a party all weekend my momma going out of town,,,
i dont live for you hoes man,,,
i dont love my hoes i love a couple not all ,,,
i dont love these bitches or these hoes fuck they thought i love my money,,,
i dont love you hoes,,,
i dont make music for niggas that dont get bitches,,,
i dont need no savin i need to get fucking high and get some pussy,,,
i dont owe you shit bitch leave me alone,,,
i dont pity or hate faggots sexual mutations are necessary side effect of evolution but proliferation at  is a sign humans fucked up,,,
i dont put nothing pass nobody when it comes money n pussy,,,
i dont respect money  respect real niccas,,,
i dont talk to niccas i talk to god we can relate,,,
i dont trust no bitch  i dog em out,,,
i dont trust these bitches,,,
i dont understand how you can be such a bitch,,,
i dont understand when people say yea my first time smoking i didnt get high cause damn that fuckin sucks bruh i was retarded high,,,
i dont understand why they mad at her making a track that spoke volumes about you muthafuckas all the hoe amp bitch tracks about females,,,
i dont want a bitch that a nigga already had i want sumn new  or a runner its too easy nigga i accept the challenge,,,
i dont want a bitch thats erybody bitch ,,,
i dont want me no good girl i fell inlove with these freak hoes,,,
i dont want no philly disease lol thot bitch,,,
i dont want no boof hoes or no burnt girls ,,,
i dont want sex bitch i only want ya neck bitch lol,,,
i dont  rt fvckfresh light skin bitches will have  unread texts amp still tweet nobody to talk to  you bitches is outta control,,,
i donated both of my very expensive prom dresses to teens who couldnt afford to buy one dont be a selfish bitch,,,
i done dun all kind of shit yall niccas just fills shit,,,
i done hit bout  threes out this bitch,,,
i done seen a lot of fake shit that bitch aint bad shes basic,,,
i dont even say nigga i say nigger im like chuck norris i say the nigger word without checking over my shoulder,,,
i dont fuck wit hoes or broke bitches,,,
i dont give a single shit who you are if you wear a suit and white cotton socks i am just going to assume you are functionally retarded,,,
i dont got no type bad bitches is the only thang that i like you aint got no life cups with the ice and we do this every ,,,
i dont hide bitch im high when im in public,,,
i dont kiss none of these hoes ,,,
i dont know a niggah that could cover for me,,,
i dont love these hoes ,,,
i dont mess with sneaky ppl nd they hoe intentions,,,
i dont mind gay people but the flamboyant hey look at me ima faggot kinda gays annoy me bruh just play wit ya booty in peace ion care,,,
i dont say fuck bitches get money because i love em both,,,
i dont think ive ever seen a fight on the real world i mean a word fight yeah tons of times but damn that bitch swung,,,
i drag a bitch by her hair captain caveman nnn,,,
i dream about having twin girls a lot yea karma i know its you bitch,,,
i dress how i feel if i felt like a bitch id dress like one,,,
i drive by and them bitches waive but girl i cant stop,,,
i eat generic oreos baller with a budget bitch,,,
i eats the pussy,,,
i fear no niggah i trust no bitchhh,,,
i feel bad for all you bitches that have never been to disney world ,,,
i feel bad for her nicca tho  ya girl a hoe my nicca,,,
i feel bad having this info but at the same time  karmas a bitch,,,
i feel every song i hear is a soundtrack to my life for  relationship  against another keep in mind the last song was pussy control,,,
i feel like i got bitch slapped by karma,,,
i feel like i should be sad and all that pussy shit but i am just so pissed right now idk what im feeling,,,
i feel like a bad bitch when i wear my rhinestoned pocket jeans ,,,
i feel like a bitch that just got her heartbroken a day before her wedding,,,
i feel like a swag fag w this shirt lmao ,,,
i feel like apart of the in crowd like yes bitch lets indirectly talk shit ,,,
i feel like its gon be a homo revalution round dis bitch deez niggas expandin,,,
i feel like slapping a bitch,,,
i feel like that niggah pac these bitches set me up,,,
i feel like this hoe owe me something ,,,
i feel so alone i miss my wife so much i hate the white trash who raped and killed her and our daughters,,,
i feel sorry fo niggas dat gtta make up shit to lie about i would hate to have to think that fuckin muchbitch,,,
i feel sorry for mexican and asian niggas they got the worse shaped bitches on earth,,,
i feel the sorry for the nice people in this world because theyre actually the solution its all you hoes and assholes thats the problem,,,
i fell in love wit my side bitch crazy thing she wasnt even my bitch,,,
i fight for what i love but you make something of bitches i think nothing of,,,
i figured that if hoes wanna play games fuck em and leave em ,,,
i find a new song i like and play that hoe way more times than i should lol,,,
i find it funny asf how people will try and tell you how you should live your life like bitch stay in my shadows thank you lol ,,,
i find it hard to believe ceelo raping hoes its too easy to get them panties off when you successful,,,
i fink this catfish shit is funny afta all how can this bitch thinks that she was talking to bow wow doe ,,,
i flipped dat pacc said fucc a bitch n went and did it again,,,
i follow sum bush ass bitches on here ,,,
i forgot how white trash texarkana was well it is arkansas so ,,,
i found the boom boom boom waaaaay ho girl how the fuck does someone sing for  years and not progress at all ,,,
i fuck alien bitches demon and angel bitches a couple of centaur bitches got really drunk and fucked a dragon chick a couple timesughhh,,,
i fuck bad bitches to stacy lattisaw why you niggas balls blue like an avatar,,,
i fuck bitches  better watch yah hoe ,,,
i fuck with lux and his knowledge but mooks presence delivery is connecting more to the people crazy,,,
i fucked the bitch i used to dream about and coulda died when i came from disbelief nah i dont wish to speak on her name that shit is weak,,,
i fucked the shit out yo bitch yesterday til she couldnt stand straight she called me earlier asking could she come and get a replay,,,
i fucked your little sister last nightthe pussy was right the pussy was tight,,,
i fuckedd your bitch than gave her a snack pack,,,
i fuckin hate this bitches voice omg,,,
i fucking hate this fucking neighborhood these fuckin bitches have someone over everyday ,,,
i fucking hate you niggers bruh ,,,
i gain a few pounds a bitch look thickkkkkk,,,
i gassss on these niggas i got gas for all these hoes,,,
i gave my aunt my tupac greatest hits cd  that bitch is lucky i love my tupac cd,,,
i get bitches on tinder,,,
i get gwop now that bitch remember me,,,
i get more nudes than all you bitches ,,,
i get so deep in that pussy i touch the back of her soul,,,
i give my niggas hope and sell these bitches dreams,,,
i give off the selfish little bitch vibe but if you get to actually know me i tend to put others before myself ,,,
i gonna start unfollowing angry bitches shit is mad depressing,,,
i got  of rain yesterday including the bird shit in my gauge,,,
i got  bitches if them bitches snitching then finger itchin shot em the kitchen makem wash the dishes,,,
i got  as amp a b on my progress report amp i still be touchin bands  bitch get like me ,,,
i got  problems and a bitch aint oneshes all  i think i need a sub machine gun gratata,,,
i got  problems but a bitch aint ,,,
i got  problems but a bitch aint one,,,
i got  problems but a bitch aint one shes all  of em i need a michane gun,,,
i got  problems but a pussy ass bitch aint one ,,,
i got california love fuckin bitches to that pop shit,,,
i got iss friday for refusing to give up my phone these bitches can kiss my ass cause there not getting it,,,
i got a lambo  doors  seater  hoes yokohamas no vogues man that bitch beautiful  jesus,,,
i got a spanish bitch her name nina paranoid,,,
i got a cousin thats rollin  got a bitch in tha hoovers,,,
